JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department_1,Department_2,Department_3,DistanceFromHome,Education,EducationField_1,EducationField_2,EducationField_3,EducationField_4,EducationField_5,EducationField_6,Gender_1,Gender_2,JobLevel,JobRole_1,JobRole_2,JobRole_3,JobRole_4,JobRole_5,JobRole_6,JobRole_7,JobRole_8,JobRole_9,MaritalStatus_1,MaritalStatus_2,MaritalStatus_3,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
2,4,4.0,2.0,3.0,35,1,1,0,0,2,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,18590,0.0,25,1,4.0,2,3,0,2,0
3,3,4.0,1.0,3.0,53,1,1,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,39890,1.0,13,0,5.0,2,4,1,3,0
2,3,2.0,1.0,3.0,29,1,0,1,0,10,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,24040,1.0,17,0,10.0,3,10,1,5,0
1,3,1.0,4.0,3.0,27,1,1,0,0,9,3,0,0,0,1,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,1,0,59930,0.0,14,1,5.0,3,4,1,1,0
4,3,2.0,4.0,2.0,42,2,0,1,0,9,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,92080,1.0,15,1,24.0,2,24,14,9,0
3,3,2.0,2.0,3.0,32,1,0,1,0,1,2,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,136950,0.0,13,0,3.0,3,2,2,2,0
2,3,4.0,1.0,3.0,54,1,1,0,0,8,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,61340,2.0,19,0,16.0,2,6,0,5,0
3,3,4.0,4.0,4.0,49,1,1,0,0,3,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,47280,3.0,11,1,8.0,4,5,0,4,0
1,3,3.0,3.0,2.0,32,1,1,0,0,10,3,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,30720,5.0,12,0,9.0,4,5,1,3,0
2,3,4.0,4.0,3.0,39,1,0,1,0,1,3,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,68040,8.0,14,1,13.0,3,5,0,4,0
3,3,4.0,1.0,3.0,30,1,0,1,0,1,3,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,103060,5.0,13,0,8.0,5,3,2,2,0
3,3,3.0,1.0,2.0,36,1,0,1,0,24,3,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,63970,4.0,14,1,11.0,3,3,0,2,0
3,3,3.0,1.0,3.0,30,0,1,0,0,1,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,54700,1.0,18,1,12.0,2,12,6,10,0
4,4,4.0,4.0,2.0,50,1,0,1,0,11,2,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,62940,3.0,23,1,32.0,2,7,0,6,0
3,3,2.0,4.0,4.0,55,1,0,1,0,7,3,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,50930,2.0,16,1,31.0,3,7,0,0,0
2,3,4.0,4.0,3.0,29,1,0,1,0,2,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,26790,2.0,15,0,10.0,2,3,0,2,0
2,3,1.0,4.0,3.0,31,1,0,1,0,28,4,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,127420,1.0,11,0,10.0,4,10,0,2,0
3,3,4.0,3.0,4.0,22,1,0,0,1,12,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,25340,0.0,11,0,4.0,1,3,1,2,0
3,3,1.0,1.0,2.0,38,2,1,0,0,4,3,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,23060,2.0,19,1,13.0,5,4,1,2,0
3,3,4.0,3.0,4.0,24,1,0,1,0,1,3,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1,28970,1.0,18,3,5.0,4,5,0,3,0
3,3,4.0,3.0,3.0,38,1,1,0,0,8,2,0,0,0,1,0,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0,49300,9.0,14,0,14.0,0,1,0,0,0
3,3,2.0,4.0,2.0,29,1,0,1,0,23,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,79690,0.0,14,0,6.0,3,5,1,3,0
3,3,1.0,3.0,2.0,46,2,0,1,0,4,1,0,0,1,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,1,0,0,29110,5.0,13,0,28.0,3,2,1,2,0
2,3,1.0,3.0,3.0,41,0,0,1,0,23,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,26700,2.0,15,2,10.0,2,8,0,7,0
3,4,3.0,2.0,3.0,36,1,1,0,0,6,3,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,42000,0.0,22,0,10.0,3,9,0,5,0
2,4,4.0,3.0,2.0,47,2,0,1,0,27,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,54410,9.0,22,1,28.0,6,22,11,13,0
2,3,3.0,2.0,1.0,39,1,1,0,0,2,4,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,138720,9.0,12,3,12.0,3,8,3,6,0
3,4,3.0,4.0,4.0,37,0,1,0,0,24,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,68150,5.0,20,1,17.0,3,1,0,0,0
3,3,3.0,1.0,3.0,42,1,1,0,0,23,3,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,26420,0.0,13,1,21.0,3,20,0,9,0
3,3,2.0,2.0,3.0,42,1,0,1,0,23,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,64470,6.0,13,0,18.0,3,1,0,0,0
3,3,1.0,4.0,2.0,47,1,0,1,0,23,4,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,62740,7.0,14,2,17.0,0,6,1,2,0
2,3,1.0,2.0,2.0,49,1,0,1,0,25,2,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,43450,4.0,15,0,29.0,3,26,1,7,0
3,3,3.0,2.0,1.0,26,2,0,1,0,1,4,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,104470,1.0,18,0,6.0,3,6,1,4,0
3,3,1.0,3.0,3.0,30,1,1,0,0,26,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,44200,9.0,11,0,9.0,3,7,0,2,0
2,3,3.0,3.0,2.0,50,1,1,0,0,19,4,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,31950,2.0,11,0,5.0,4,3,0,2,0
3,3,3.0,4.0,1.0,51,1,0,1,0,8,4,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,1,0,24500,0.0,12,1,11.0,2,10,1,0,0
3,3,3.0,1.0,2.0,56,2,0,1,0,20,4,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,53210,9.0,14,0,36.0,1,7,7,7,0
3,3,3.0,4.0,3.0,35,1,0,1,0,16,3,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,23940,1.0,16,1,9.0,3,9,1,7,0
3,4,4.0,2.0,3.0,45,1,0,1,0,1,4,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,29420,1.0,22,1,21.0,4,21,8,6,0
3,3,3.0,2.0,4.0,35,1,0,1,0,18,5,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,65380,2.0,16,1,15.0,3,7,6,4,0
2,3,4.0,1.0,4.0,46,1,1,0,0,4,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,26190,6.0,12,1,10.0,3,7,5,7,0
3,3,4.0,4.0,3.0,44,1,0,1,0,16,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,80200,3.0,11,1,23.0,2,12,11,11,0
2,4,3.0,1.0,2.0,35,1,1,0,0,6,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,94190,1.0,24,1,6.0,5,6,1,1,0
2,3,4.0,2.0,2.0,49,2,0,1,0,6,1,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,29960,2.0,18,1,17.0,2,9,0,8,0
2,3,3.0,3.0,3.0,35,1,0,0,1,1,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,136750,1.0,15,3,5.0,5,5,1,0,0
3,3,4.0,2.0,2.0,33,0,0,1,0,14,3,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,108200,5.0,12,0,11.0,2,9,1,7,0
1,3,2.0,4.0,2.0,38,1,0,1,0,19,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,64740,2.0,13,2,20.0,3,4,0,3,0
3,3,4.0,4.0,3.0,38,2,0,1,0,25,3,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,163280,1.0,17,3,10.0,2,10,9,9,0
3,3,4.0,1.0,3.0,30,2,1,0,0,9,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,95820,0.0,12,1,10.0,2,9,0,7,0
2,3,2.0,1.0,4.0,24,1,0,1,0,3,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,14160,1.0,15,1,6.0,3,6,1,2,0
3,3,4.0,1.0,3.0,33,1,0,1,0,8,5,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,82240,6.0,19,0,14.0,3,10,7,6,0
3,3,4.0,3.0,3.0,29,1,0,1,0,16,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,22100,8.0,11,1,11.0,4,7,1,6,0
2,3,4.0,1.0,3.0,36,1,0,1,0,27,3,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,0,50560,7.0,12,0,15.0,2,12,5,7,0
3,3,3.0,1.0,2.0,56,2,0,1,0,20,4,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,53210,9.0,14,0,36.0,1,7,7,7,0
3,3,2.0,1.0,1.0,35,1,0,1,0,25,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,54100,0.0,18,0,6.0,4,5,0,4,0
3,3,4.0,4.0,4.0,35,2,0,1,0,3,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,22580,1.0,11,1,2.0,2,2,2,2,0
3,3,3.0,2.0,2.0,45,0,0,1,0,8,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,33190,1.0,12,1,9.0,3,9,0,8,0
3,3,4.0,3.0,3.0,18,1,1,0,0,7,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,38120,1.0,15,0,0.0,3,0,0,0,0
3,3,4.0,3.0,3.0,18,1,1,0,0,7,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,38120,1.0,15,0,0.0,3,0,0,0,0
2,3,3.0,3.0,3.0,30,0,0,1,0,17,4,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,64300,1.0,12,1,12.0,2,11,5,8,0
3,3,3.0,2.0,2.0,38,2,0,1,0,28,3,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,29790,4.0,12,1,9.0,3,6,0,5,0
4,3,3.0,1.0,3.0,31,1,1,0,0,24,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,38940,1.0,12,0,10.0,3,10,1,8,0
4,3,4.0,4.0,2.0,39,0,0,1,0,3,4,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,47240,2.0,12,1,21.0,4,6,1,3,0
4,3,3.0,1.0,3.0,35,1,0,1,0,2,4,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,101240,0.0,14,1,16.0,2,15,2,8,0
3,4,2.0,3.0,3.0,35,1,0,1,0,9,3,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,131420,1.0,25,2,10.0,4,10,0,8,0
2,3,1.0,3.0,3.0,26,2,0,1,0,3,3,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,139640,1.0,11,2,5.0,1,5,1,3,0
3,3,1.0,3.0,3.0,27,1,0,1,0,6,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,37550,1.0,19,0,5.0,2,5,0,3,0
3,3,4.0,1.0,3.0,40,2,0,1,0,3,4,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,51260,5.0,18,0,20.0,2,18,1,12,0
3,3,2.0,1.0,4.0,23,1,1,0,0,13,3,0,0,0,1,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,42210,1.0,11,1,5.0,4,4,0,2,0
2,3,3.0,3.0,4.0,30,1,1,0,0,3,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,64340,5.0,14,1,10.0,3,8,7,7,0
2,3,3.0,3.0,2.0,47,1,0,1,0,8,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,23660,3.0,17,0,11.0,5,5,1,2,0
3,4,2.0,1.0,2.0,22,1,0,1,0,8,3,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,49070,1.0,21,1,4.0,2,4,1,1,0
3,3,1.0,4.0,3.0,35,1,0,1,0,2,3,1,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,1,0,24960,4.0,17,3,9.0,3,3,0,2,0
3,3,4.0,4.0,3.0,52,0,0,1,0,1,4,1,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,97380,0.0,18,2,5.0,2,4,1,2,0
3,3,3.0,4.0,1.0,34,1,1,0,0,2,5,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,23230,0.0,17,0,4.0,2,3,0,2,0
3,3,4.0,3.0,3.0,43,2,1,0,0,4,3,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,34190,3.0,11,1,10.0,5,8,4,7,0
3,3,1.0,3.0,3.0,33,1,0,1,0,16,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,20900,4.0,16,0,10.0,2,6,0,5,0
2,3,4.0,1.0,2.0,27,2,0,1,0,29,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,43250,1.0,14,0,9.0,2,9,1,7,0
3,3,4.0,4.0,3.0,35,1,0,1,0,8,4,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,38380,1.0,16,1,1.0,2,1,0,1,0
3,3,3.0,3.0,4.0,46,0,1,0,0,2,4,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,30650,2.0,11,0,7.0,3,1,0,0,0
3,4,2.0,1.0,2.0,34,2,0,1,0,2,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,68770,7.0,20,0,16.0,3,14,6,9,0
2,3,2.0,4.0,3.0,34,1,0,1,0,28,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,107930,0.0,11,3,3.0,1,2,1,2,0
2,3,3.0,3.0,2.0,42,0,0,1,0,4,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,20830,0.0,12,2,21.0,3,20,2,10,0
3,4,1.0,4.0,3.0,29,1,0,1,0,19,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,99500,1.0,20,0,3.0,3,3,1,2,0
3,3,3.0,3.0,3.0,34,2,1,0,0,24,4,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,164130,6.0,16,0,6.0,1,4,1,2,0
2,3,2.0,2.0,3.0,32,1,1,0,0,3,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,97150,1.0,15,1,10.0,1,10,0,9,0
2,3,3.0,1.0,3.0,27,2,0,1,0,13,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,44010,5.0,13,0,6.0,4,2,2,0,0
1,3,4.0,2.0,3.0,24,1,1,0,0,7,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,12320,1.0,12,0,1.0,4,1,0,0,0
3,3,4.0,4.0,4.0,42,2,0,1,0,18,4,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,132060,0.0,13,2,7.0,2,6,0,4,0
3,3,3.0,3.0,3.0,43,1,1,0,0,27,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,39770,4.0,18,1,8.0,3,5,0,2,0
3,4,3.0,4.0,2.0,42,1,0,1,0,18,1,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,199990,2.0,23,1,17.0,6,5,1,3,0
3,3,2.0,4.0,2.0,34,1,0,1,0,1,5,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,53810,1.0,12,0,10.0,0,10,8,8,0
3,3,4.0,4.0,4.0,49,1,1,0,0,3,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,47280,3.0,11,1,8.0,4,5,0,4,0
4,3,2.0,2.0,3.0,38,1,1,0,0,22,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,137340,0.0,13,0,3.0,3,2,1,2,0
3,3,4.0,4.0,4.0,29,2,0,1,0,6,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,41150,1.0,11,0,11.0,1,11,3,10,0
1,3,3.0,3.0,3.0,50,1,0,1,0,8,4,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,49410,5.0,11,1,30.0,3,4,0,3,0
1,3,4.0,1.0,3.0,56,1,0,1,0,3,2,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,44490,4.0,15,0,28.0,3,5,4,2,0
3,3,2.0,4.0,3.0,22,1,0,1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,193310,1.0,12,1,1.0,2,0,0,0,0
