JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department_1,Department_2,Department_3,DistanceFromHome,Education,EducationField_1,EducationField_2,EducationField_3,EducationField_4,EducationField_5,EducationField_6,Gender_1,Gender_2,JobLevel,JobRole_1,JobRole_2,JobRole_3,JobRole_4,JobRole_5,JobRole_6,JobRole_7,JobRole_8,JobRole_9,MaritalStatus_1,MaritalStatus_2,MaritalStatus_3,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
3,4,1.0,1.0,3.0,26,0,2,0,1,0,9,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,162910,1.0,22,0,5.0,3,5,3,3
3,3,4.0,4.0,3.0,37,0,1,1,0,0,5,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,27050,1.0,11,0,17.0,2,17,5,7
2,3,4.0,3.0,1.0,44,1,2,0,1,0,1,2,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,103330,3.0,14,1,19.0,2,1,0,0
2,3,4.0,4.0,3.0,38,0,1,1,0,0,2,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,44480,9.0,12,0,10.0,3,2,1,2
2,3,1.0,2.0,3.0,26,1,1,0,1,0,4,3,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,68540,2.0,11,0,5.0,5,3,0,2
2,3,4.0,4.0,3.0,28,0,1,0,1,0,7,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,96370,1.0,13,0,5.0,6,5,0,2
3,3,3.0,1.0,3.0,49,0,2,0,1,0,1,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,35910,9.0,13,0,22.0,2,3,1,2
3,3,3.0,2.0,3.0,36,0,1,1,0,0,5,3,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,54050,4.0,14,0,10.0,2,8,7,7
3,3,4.0,2.0,2.0,31,0,2,0,1,0,9,4,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,46840,1.0,16,1,2.0,4,2,2,2
3,3,4.0,4.0,3.0,26,1,1,0,1,0,8,3,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,157870,1.0,12,2,8.0,5,8,7,4
3,3,2.0,4.0,2.0,37,0,2,1,0,0,9,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,15140,1.0,14,0,4.0,3,4,1,2
3,3,3.0,2.0,4.0,42,0,2,1,0,0,2,2,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,29560,5.0,13,0,23.0,2,20,4,8
2,3,3.0,3.0,3.0,18,1,1,0,1,0,1,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,23350,1.0,14,2,0.0,3,0,0,0
2,3,3.0,2.0,2.0,35,0,1,1,0,0,20,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,51540,0.0,19,0,12.0,2,11,6,9
2,3,4.0,2.0,3.0,51,0,1,0,1,0,2,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,56750,5.0,13,0,13.0,2,4,1,2
3,3,4.0,2.0,3.0,41,0,1,0,1,0,29,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,23790,1.0,12,0,22.0,6,22,0,4
3,3,4.0,3.0,3.0,18,0,1,1,0,0,7,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,38120,1.0,15,0,0.0,3,0,0,0
2,4,2.0,1.0,3.0,28,0,1,0,1,0,9,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,46480,0.0,23,2,9.0,2,8,0,7
3,3,2.0,4.0,2.0,31,0,1,0,1,0,8,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,29360,4.0,12,1,10.0,2,8,7,7
3,4,3.0,4.0,2.0,39,0,1,1,0,0,5,4,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,21050,0.0,20,0,19.0,3,18,3,7
3,4,2.0,2.0,3.0,36,0,0,0,1,0,5,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,85780,7.0,21,0,11.0,4,9,0,8
3,4,4.0,3.0,2.0,32,0,1,1,0,0,2,3,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,27060,1.0,21,1,13.0,4,13,4,8
2,3,1.0,2.0,3.0,38,0,1,0,1,0,5,2,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,63840,3.0,19,2,19.0,4,10,0,1
2,3,4.0,3.0,3.0,58,0,0,0,1,0,2,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,39680,2.0,13,2,12.0,3,5,1,2
2,3,3.0,4.0,3.0,31,0,1,0,1,0,20,1,0,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,99070,0.0,13,1,6.0,3,5,0,3
3,4,1.0,1.0,3.0,31,0,1,1,0,0,7,4,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,132250,3.0,21,1,9.0,2,2,1,0
3,3,1.0,1.0,3.0,45,0,2,0,1,0,3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,35400,1.0,13,0,24.0,6,24,9,11
3,3,3.0,4.0,1.0,31,0,1,1,0,0,16,4,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,28040,0.0,19,2,3.0,0,2,2,2
3,3,4.0,2.0,3.0,33,0,2,0,1,0,9,3,1,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,193920,6.0,12,1,12.0,3,10,8,8
3,4,3.0,1.0,3.0,39,0,1,1,0,0,1,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,196650,1.0,22,1,21.0,6,21,11,10
3,3,3.0,4.0,3.0,43,0,2,0,1,0,7,4,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,24390,0.0,15,0,9.0,2,8,1,7
3,4,3.0,3.0,3.0,49,0,1,0,1,0,1,3,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,73140,7.0,22,0,25.0,2,7,0,7
3,3,3.0,2.0,2.0,52,1,1,0,1,0,7,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,47740,2.0,18,1,11.0,2,8,7,7
3,4,3.0,2.0,2.0,27,0,1,0,1,0,15,4,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,39020,1.0,22,0,4.0,2,4,1,2
4,3,3.0,2.0,3.0,32,0,1,0,1,0,1,3,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,26620,1.0,11,1,13.0,6,13,11,9
4,3,4.0,3.0,3.0,27,0,1,0,1,0,13,2,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,1,0,28560,1.0,12,2,5.0,5,5,0,4
4,3,4.0,4.0,3.0,31,0,1,1,0,0,24,3,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,10810,4.0,11,3,13.0,4,7,1,7
3,3,1.0,4.0,2.0,32,0,1,0,1,0,7,3,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,24720,7.0,13,0,10.0,2,7,0,7
2,3,1.0,4.0,2.0,28,1,1,0,1,0,9,4,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,56730,5.0,14,1,5.0,4,3,2,2
3,3,4.0,4.0,3.0,30,0,1,0,1,0,13,3,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,41970,1.0,13,0,11.0,3,10,1,9
2,3,3.0,3.0,3.0,31,0,2,0,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,97130,1.0,17,0,10.0,5,10,8,9
3,3,3.0,4.0,3.0,39,0,2,0,1,0,19,4,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,20620,1.0,13,0,21.0,4,21,13,3
3,3,4.0,3.0,2.0,39,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,42840,4.0,17,1,12.0,0,1,0,0
3,3,2.0,4.0,2.0,33,0,2,1,0,0,4,2,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,47880,3.0,11,1,9.0,0,7,0,1
4,4,4.0,3.0,3.0,47,0,1,0,1,0,4,3,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,59060,4.0,23,0,21.0,4,3,1,1
3,3,3.0,3.0,4.0,43,0,2,0,1,0,14,3,0,0,1,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,1,38860,1.0,17,2,9.0,2,9,0,0
3,3,3.0,2.0,3.0,27,0,0,0,1,0,2,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,168230,0.0,17,0,6.0,3,5,1,4
3,3,4.0,3.0,2.0,54,0,2,0,1,0,1,4,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,29330,3.0,12,2,20.0,2,4,0,3
3,4,3.0,1.0,2.0,43,0,1,0,1,0,7,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,65000,8.0,23,0,10.0,3,1,0,0
3,3,4.0,4.0,3.0,45,0,1,1,0,0,3,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,171740,9.0,14,1,12.0,6,10,9,8
3,3,2.0,4.0,2.0,40,0,1,0,1,0,2,4,0,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,50330,2.0,14,2,6.0,6,4,0,2
3,3,2.0,1.0,2.0,29,1,1,0,1,0,29,3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,23070,1.0,13,1,7.0,0,7,0,7
3,4,2.0,4.0,3.0,29,0,1,0,0,1,8,3,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,25870,0.0,22,2,4.0,3,3,2,2
2,3,4.0,3.0,3.0,30,0,1,0,1,0,10,3,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,55070,1.0,12,2,10.0,2,10,1,2
2,3,2.0,2.0,3.0,27,0,1,0,1,0,11,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,43930,1.0,18,1,8.0,2,8,0,7
3,3,4.0,4.0,2.0,37,0,1,1,0,0,1,4,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,133480,7.0,14,0,8.0,4,6,0,4
3,3,3.0,4.0,3.0,38,0,1,0,1,0,28,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,65830,0.0,12,0,12.0,1,11,2,9
3,3,4.0,2.0,3.0,29,0,1,0,1,0,3,4,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,39780,1.0,11,0,7.0,0,7,1,7
4,3,3.0,2.0,3.0,35,0,1,1,0,0,16,2,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,25440,0.0,13,1,17.0,3,16,0,13
2,4,3.0,4.0,2.0,23,0,1,0,1,0,20,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,53990,1.0,23,0,4.0,2,4,0,2
3,3,4.0,2.0,3.0,41,0,1,0,1,0,9,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,54870,6.0,19,2,8.0,0,5,1,2
4,3,2.0,3.0,3.0,47,0,2,1,0,0,1,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,68340,3.0,16,1,5.0,2,0,0,0
1,4,1.0,4.0,3.0,42,0,1,0,1,0,3,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,10910,2.0,22,0,16.0,0,1,0,0
2,4,4.0,3.0,2.0,29,0,0,1,0,0,22,4,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,57360,1.0,22,0,4.0,1,4,0,2
2,3,3.0,3.0,3.0,42,0,1,1,0,0,7,4,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,22260,0.0,12,1,4.0,3,3,1,0
3,3,3.0,2.0,3.0,32,0,1,0,1,0,2,3,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,57470,1.0,13,0,8.0,0,8,0,7
2,3,1.0,3.0,1.0,48,0,1,1,0,0,13,4,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,98540,3.0,16,1,15.0,2,0,0,0
3,3,3.0,1.0,3.0,37,0,1,0,1,0,8,5,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,54670,4.0,12,0,13.0,2,7,6,7
3,4,4.0,3.0,4.0,30,0,0,1,0,0,25,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,53800,7.0,21,1,4.0,0,2,2,2
3,3,3.0,3.0,3.0,26,0,1,1,0,0,28,3,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0,0,51510,1.0,15,3,8.0,3,8,7,7
3,3,1.0,4.0,3.0,42,0,1,1,0,0,2,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,21330,3.0,13,2,14.0,2,1,0,0
2,3,1.0,2.0,3.0,21,1,2,0,1,0,9,3,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,178750,1.0,12,0,3.0,5,3,1,2
1,4,4.0,4.0,3.0,36,0,0,0,0,1,28,3,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,24320,4.0,22,0,7.0,4,1,0,0
3,3,1.0,4.0,3.0,36,0,2,0,1,0,6,3,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,47710,4.0,13,1,16.0,2,13,1,12
1,3,4.0,3.0,3.0,57,0,1,0,1,0,21,4,1,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0,191610,2.0,18,0,15.0,2,3,1,2
3,3,4.0,3.0,3.0,40,0,1,0,1,0,8,3,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,50870,3.0,14,1,10.0,3,7,1,7
1,3,1.0,4.0,2.0,21,0,0,0,1,0,1,5,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,28630,1.0,14,0,3.0,2,3,2,2
1,4,4.0,3.0,3.0,33,1,1,0,0,1,28,2,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,55610,1.0,21,1,1.0,3,1,0,0
4,3,3.0,1.0,3.0,37,0,1,0,1,0,5,3,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,21440,6.0,19,0,17.0,3,5,0,3
3,3,3.0,3.0,4.0,46,0,0,1,0,0,2,4,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,30650,2.0,11,0,7.0,3,1,0,0
4,3,1.0,2.0,3.0,41,1,2,0,1,0,16,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,28100,1.0,11,0,8.0,3,8,7,7
3,3,4.0,4.0,3.0,50,0,1,0,1,0,9,3,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,98880,6.0,15,0,20.0,2,4,1,3
2,4,3.0,3.0,3.0,40,1,1,0,1,0,8,3,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,86280,2.0,20,0,8.0,2,6,1,0
3,3,3.0,2.0,3.0,21,1,1,0,0,1,10,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,53730,1.0,12,1,1.0,2,1,0,0
4,3,4.0,4.0,3.0,29,0,1,0,1,0,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,66670,9.0,12,1,6.0,6,3,1,2
3,3,3.0,2.0,3.0,35,0,1,0,1,0,29,3,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,50030,9.0,15,0,10.0,2,1,0,0
2,3,2.0,4.0,3.0,28,0,1,0,1,0,2,2,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,28580,1.0,12,0,7.0,2,7,0,7
3,3,2.0,3.0,3.0,49,0,1,1,0,0,2,3,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,52040,8.0,14,1,26.0,3,5,0,0
3,4,3.0,4.0,2.0,51,0,1,0,1,0,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,41050,4.0,22,1,18.0,2,7,0,7
3,3,4.0,3.0,3.0,36,0,1,1,0,0,15,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,96790,4.0,12,0,6.0,1,2,2,2
3,4,1.0,4.0,2.0,34,1,0,0,1,0,7,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,56170,8.0,25,1,9.0,3,5,0,4
3,3,3.0,4.0,3.0,55,0,1,1,0,0,26,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,104480,2.0,13,0,30.0,3,5,1,2
3,3,4.0,3.0,4.0,24,0,1,0,1,0,1,3,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1,28970,1.0,18,3,5.0,4,5,0,3
3,3,3.0,2.0,3.0,30,0,1,0,1,0,3,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,59680,1.0,13,0,1.0,3,1,0,0
2,3,1.0,2.0,3.0,22,0,1,0,1,0,16,5,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,29910,1.0,19,2,2.0,3,2,1,2
3,3,2.0,3.0,3.0,36,0,1,0,1,0,1,3,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,0,0,196360,1.0,12,1,10.0,3,10,9,0
2,3,3.0,4.0,3.0,30,1,2,1,0,0,3,2,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,11290,9.0,19,0,3.0,2,1,0,0
3,3,4.0,1.0,2.0,37,0,1,0,1,0,10,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,133410,1.0,14,1,18.0,3,18,12,17
2,3,4.0,2.0,3.0,40,0,1,0,1,0,6,2,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,43320,7.0,14,2,8.0,3,5,1,3
2,3,2.0,1.0,3.0,42,0,1,0,1,0,2,3,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,110310,3.0,12,1,8.0,2,5,1,2
2,3,3.0,2.0,2.0,37,0,1,1,0,0,9,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,44400,2.0,11,1,18.0,3,1,0,1
3,3,1.0,2.0,3.0,43,0,1,1,0,0,10,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,46170,1.0,11,0,25.0,2,25,3,9
2,3,2.0,3.0,3.0,40,0,1,1,0,0,6,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,26470,6.0,13,0,20.0,2,1,0,0
2,4,1.0,1.0,2.0,54,0,1,0,0,1,9,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,63230,4.0,23,1,24.0,2,4,1,2
3,4,3.0,3.0,3.0,34,0,0,0,1,0,28,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,56770,9.0,20,1,6.0,3,3,1,2
2,3,2.0,1.0,1.0,31,0,1,0,1,0,10,4,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,21870,1.0,15,1,13.0,2,13,3,12
3,3,3.0,3.0,3.0,43,0,1,1,0,0,27,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,39770,4.0,18,1,8.0,3,5,0,2
4,3,2.0,4.0,3.0,25,0,1,0,0,1,7,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,86330,1.0,19,1,5.0,2,5,1,3
2,4,2.0,3.0,3.0,37,0,0,0,1,0,1,3,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,20080,3.0,22,0,15.0,5,13,10,7
3,3,4.0,1.0,3.0,31,0,1,0,1,0,24,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,44400,1.0,13,1,4.0,2,4,3,2
1,4,2.0,3.0,3.0,39,0,2,0,1,0,26,4,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,30670,1.0,20,1,21.0,5,21,1,6
3,3,3.0,1.0,2.0,56,0,2,0,1,0,20,4,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,53210,9.0,14,0,36.0,1,7,7,7
3,3,2.0,3.0,3.0,30,0,1,1,0,0,5,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,54100,0.0,17,1,6.0,2,5,4,4
